,Gender,Age,Annual Income (k$),Spending Score (1-100),Email,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,1,19,15,39,repulsiveRoy5@centurytel.net,,,
1,1,21,15,81,Bobbynutty@hetnet.nl,,,
2,0,20,16,6,Eduardoselfish@yahoo.co.jp,,,
3,0,23,16,77,Anthonycruel@terra.com.br,,,
4,0,31,17,40,calmTrevor@wanadoo.fr,,,
5,0,22,17,76,helplessJonathan@hotmail.it,,,
6,0,35,18,6,determinedTara@live.ca,,,
7,0,23,18,94,annoyingTodd41@aol.com,,,
8,1,64,19,3,tameGrant40@yahoo.in,,,
9,0,30,19,72,Meredithexcited@yandex.ru,,,
10,1,67,19,14,Melodydisturbed@hotmail.fr,,,
11,0,35,19,99,aliveBethany49@comcast.net,,,
12,0,58,20,15,kindMichelle@bigpond.com,,,
13,0,24,20,77,faithfulCynthia38@voila.fr,,,
14,1,37,20,13,exuberantBrian@rediffmail.com,,,
15,1,22,20,79,motionlessVirginia@skynet.be,,,
16,0,35,21,35,uglyJulie@yahoo.co.jp,,,
17,1,20,21,66,scaryDerek@gmail.com,,,
18,1,52,23,29,encouragingJared36@yahoo.com.br,,,
19,0,35,23,98,easyAmelia@aliceadsl.fr,,,
20,1,35,24,35,fineMitchell13@bellsouth.net,,,
21,1,25,24,73,Ashleighfancy@sky.com,,,
22,0,46,25,5,obnoxiousMitchell@gmx.de,,,
23,1,31,25,73,combativeBridget@yahoo.co.uk,,,
24,0,54,28,14,wrongClaudia90@tiscali.it,,,
25,1,29,28,82,curiousAlberto@live.com,,,
26,0,45,28,32,Catherinehungry@freenet.de,,,
27,1,35,28,61,Keripanicky@msn.com,,,
28,0,40,29,31,inquisitiveSabrina74@msn.com,,,
29,0,23,29,87,Karaannoying@optusnet.com.au,,,
30,1,60,30,4,Maryalive@mac.com,,,
31,0,21,30,73,carefulBilly@virgilio.it,,,
32,1,53,33,4,Theodoreworrisome@blueyonder.co.uk,,,
33,1,18,33,92,Janetdizzy@arcor.de,,,
34,0,49,33,14,Cynthialively@yahoo.co.uk,,,
35,0,21,33,81,distinctErin@verizon.net,,,
36,0,42,34,17,dullKarl@bol.com.br,,,
37,0,30,34,73,inexpensiveSheila68@gmx.net,,,
38,0,36,37,26,Sierraclumsy@tin.it,,,
39,0,20,37,75,Mistyenchanting@ig.com.br,,,
40,0,65,38,35,stormyDaniel70@aim.com,,,
41,1,24,38,92,bewilderedBruce37@optonline.net,,,
42,1,48,39,36,obnoxiousLawrence38@voila.fr,,,
43,0,31,39,61,powerfulRoberto@optusnet.com.au,,,
44,0,49,39,28,Cynthiaold-fashioned@live.ca,,,
45,0,24,39,65,Ashleydark@yahoo.com.ar,,,
46,0,50,40,55,Aimeeglorious@neuf.fr,,,
47,0,27,40,47,Troybrainy@bigpond.net.au,,,
48,0,29,40,42,uglyDustin9@hotmail.co.uk,,,
49,0,31,40,42,wildKelli@hotmail.es,,,
50,0,49,42,52,joyousNatasha@centurytel.net,,,
51,1,33,42,60,disturbedKatie65@yahoo.com,,,
52,0,31,43,54,disgustedJohnny@free.fr,,,
53,1,59,43,60,Troyobedient@me.com,,,
54,0,50,43,45,Ashleighnervous@t-online.de,,,
55,1,47,43,41,Lesliesleepy@yahoo.com.au,,,
56,0,51,44,50,Tonyprecious@mail.ru,,,
57,1,69,44,46,successfulDevon@ntlworld.com,,,
58,0,27,46,51,toughJoseph73@uol.com.br,,,
59,1,53,46,46,obnoxiousTommy44@optonline.net,,,
60,1,70,46,56,Meganfunny@mac.com,,,
61,1,19,46,55,Paulfamous@yahoo.fr,,,
62,0,67,47,52,pleasantJessie@hotmail.de,,,
63,0,54,47,59,cleverRandall87@hotmail.de,,,
64,1,63,48,51,Edwardlonely@live.com.au,,,
65,1,18,48,59,mysteriousCourtney18@gmx.de,,,
66,0,43,48,50,ugliestSergio@yahoo.com.au,,,
67,0,68,48,48,exuberantMarco@freenet.de,,,
68,1,19,48,59,Anncheerful@club-internet.fr,,,
69,0,32,48,47,Jeromebrainy@uol.com.br,,,
70,1,70,49,55,realRandi96@ymail.com,,,
71,0,47,49,42,Davidprecious@yandex.ru,,,
72,0,60,50,49,Kristenoutrageous@alice.it,,,
