CustomerID,Gender,Age,Annual Income (k),Spending Score (1-100),Email
1,Male,19,15,39,ayushchawla099@gamil.com
2,Male,21,15,81,swapnalimoghesm687@gmail.com
3,Female,,123,6,ketkaletanmay@gmail.com
4,Female,23,16,77,bkomal1999@gmail.com
5,Female,31,17,40,exampl@gmail.com
6,Female,22,,76,rasikavhaval1999@gmail.com
7,Female,35,18,6,vaishnavi03061999@gmail.com
8,Female,23,18,,bhosalesimran024@gmail.com
9,,64,111,3,kaliyanjani@gmail.com
10,Female,30,19,72,tahirbandar1999@gmail.com
11,Male,67,19,14,sherry04fashionista@gmail.com
12,Female,35,19,99,ramawatbhavana@gmail.com
13,Female,58,20,15,shilpashreemp699@gmail.com
14,Female,24,20,77,jyotsnazade5@gmail.com
15,Male,37,20,,nayaksatyaprakash36@gmail.com
16,Male,,20,79,mdmirhossain1998@gmail.com
17,Female,35,21,35,kirandabeta@gmail.com
18,Male,20,1200,66,vickyvineesh9@gmail.com
19,Male,52,23,29,jagdishpatil9767@gmail.com
20,Female,35,23,98,harshc466@gmail.com
21,Male,35,24,35,sawanmulchandani@gmail.com
22,Male,25,24,73,goyalyash629@gmail.com
23,Female,46,25,5,kulkarniyash4410@gmail.com
24,Male,31,1000,73,thulasisoma402@gmail.com
25,Female,54,28,14,nehachauhan895766@gmail.com
26,Male,29,28,,pratikalase2000@gmail.com
27,Female,45,28,32,goyalyash629@gmail.com
28,Male,35,28,61,akashachawla3103@gmail.com
29,Female,40,,31,clifton70@brown.com
30,Female,23,222,87,patience30@bergstrom.biz
31,Male,60,30,4,kuphal.maximillia@yahoo.com
32,Female,21,30,73,qgusikowski@gmail.com
33,Male,53,33,4,beulah.mcglynn@hotmail.com
34,Male,18,33,92,alene.gottlieb@gmail.com
35,Female,49,33,14,dena.emard@yahoo.com
36,Female,21,111,81,vraynor@yahoo.com
37,Female,42,34,17,cassin.adalberto@gmail.com
38,Female,30,34,73,martin.windler@gulgowski.com
39,Female,36,37,26,tad12@yahoo.com
40,Female,20,37,75,kobe12@raynor.com
41,Female,65,38,35,nbuckridge@windler.net
42,Male,24,38,92,haley.murray@gmail.com
43,Male,48,39,36,konopelski.newton@gmail.com
44,Female,31,39,61,kunde.gavin@gmail.com
45,Female,49,100,28,cecelia.dietrich@yahoo.com
46,Female,24,39,65,shanelle27@yahoo.com
