CustomerID,Gender,Age,Annual Income (k),Spending Score (1-100),Email
1,Male,19,15,39,ayushchawla099@gamil.com
2,Male,19,15,81,swapnalimoghesm687@gmail.com
3,Male,19,123,6,ketkaletanmay@gmail.com
4,Male,19,16,77,bkomal1999@gmail.com
5,Male,19,17,40,exampl@gmail.com
6,Male,19,,76,rasikavhaval1999@gmail.com
7,Male,19,18,6,vaishnavi03061999@gmail.com
8,Male,19,18,,bhosalesimran024@gmail.com
9,Male,19,111,3,kaliyanjani@gmail.com
10,Male,19,19,72,tahirbandar1999@gmail.com
11,Male,19,19,14,sherry04fashionista@gmail.com
12,Male,19,19,99,ramawatbhavana@gmail.com
13,Male,19,20,15,shilpashreemp699@gmail.com
14,Male,19,20,77,jyotsnazade5@gmail.com
15,Male,19,20,,nayaksatyaprakash36@gmail.com
16,Male,19,20,79,mdmirhossain1998@gmail.com
17,Male,19,21,35,kirandabeta@gmail.com
18,Male,19,1200,66,vickyvineesh9@gmail.com
19,Male,19,23,29,jagdishpatil9767@gmail.com
20,Male,19,23,98,harshc466@gmail.com
21,Male,19,24,35,sawanmulchandani@gmail.com
22,Male,19,24,73,goyalyash629@gmail.com
23,Male,19,25,5,kulkarniyash4410@gmail.com
24,Male,19,1000,73,thulasisoma402@gmail.com
25,Male,19,28,14,nehachauhan895766@gmail.com
26,Male,19,28,,pratikalase2000@gmail.com
27,Male,19,28,32,goyalyash629@gmail.com
28,Male,19,28,61,akashchawla3103@gmail.com
29,Male,19,,31,clifton70@brown.com
30,Male,19,222,87,patience30@bergstrom.biz
31,Male,19,30,4,kuphal.maximillia@yahoo.com
32,Male,19,30,73,qgusikowski@gmail.com
33,Male,19,33,4,beulah.mcglynn@hotmail.com
34,Male,19,33,92,alene.gottlieb@gmail.com
35,Male,19,33,14,dena.emard@yahoo.com
36,Male,19,111,81,vraynor@yahoo.com
37,Male,19,34,17,cassin.adalberto@gmail.com
38,Male,19,34,73,martin.windler@gulgowski.com
39,Male,19,37,26,tad12@yahoo.com
40,Male,19,37,75,kobe12@raynor.com
41,Male,19,38,35,nbuckridge@windler.net
42,Male,19,38,92,haley.murray@gmail.com
43,Male,19,39,36,konopelski.newton@gmail.com
44,Male,19,39,61,kunde.gavin@gmail.com
45,Male,19,100,28,cecelia.dietrich@yahoo.com
46,Male,19,39,65,shanelle27@yahoo.com
47,Male,19,40,55,xhammes@gmail.com
48,Male,19,123,47,lera.will@rowe.biz
49,Male,19,40,42,mcglynn.caleb@yahoo.com
50,Male,19,40,42,brakus.leslie@treutel.org
51,Male,19,42,52,zack.zulauf@gmail.com
52,Male,19,42,60,mack.morar@hotmail.com
53,Male,19,43,54,exampl@gmail.com
54,Male,19,43,60,jacinto.cummerata@wiza.biz
55,Male,19,43,45,brown.pagac@gmail.com
56,Male,19,43,41,darryl85@jerde.net
57,Male,19,400,50,elyssa.crooks@gmail.com
58,Male,19,44,46,jcrooks@legros.org
59,Male,19,46,51,jett.haley@jacobs.biz
60,Male,19,46,46,greenfelder.reyes@frami.com
61,Male,19,46,56,wgibson@reinger.com
62,Male,19,46,55,pwitting@pouros.com
63,Male,19,47,52,allie.witting@hotmail.com
64,Male,19,47,59,moriah17@cronin.net
65,Male,19,48,51,jairo88@yahoo.com
66,Male,19,48,59,mweimann@king.biz
67,Male,19,48,50,kconroy@yahoo.com
68,Male,19,48,48,waelchi.connor@abernathy.info
69,Male,19,48,59,harvey.prudence@tillman.org
70,Male,19,48,47,avery78@renner.com
71,Male,19,49,55,reece37@hand.com
72,Male,19,49,42,hammes.marjory@hotmail.com
73,Male,19,50,49,virginia.medhurst@shanahan.com
74,Male,19,50,56,vada13@gleichner.com
75,Male,19,54,47,pmarks@hauck.com
76,Male,19,54,54,vcarter@hotmail.com
77,Male,19,54,53,rice.leo@beer.com
78,Male,19,222,48,malinda28@kiehn.com
79,Male,19,54,52,davin.macejkovic@gmail.com
80,Male,19,54,42,pgerhold@spencer.biz
81,Male,19,54,51,kara.nolan@kerluke.com
82,Male,19,54,55,grant.jessie@ebert.info
83,Male,19,54,,cframi@yahoo.com
84,Male,19,54,44,carmela.konopelski@hotmail.com
85,Male,19,54,57,mante.chloe@heaney.net
86,Male,19,54,46,tom04@hotmail.com
87,Male,19,57,58,effertz.verla@gmail.com
88,Male,19,57,55,volkman.barney@funk.com
89,Male,19,58,60,batz.rachael@pfeffer.com
90,Male,19,555,46,josephine73@hotmail.com
91,Male,19,59,55,gertrude.lang@gaylord.com
92,Male,19,59,41,lrippin@yahoo.com
93,Male,19,60,49,gquitzon@yahoo.com
94,Male,19,,40,lester71@gmail.com
95,Male,19,60,42,idooley@wuckert.com
96,Male,19,60,52,burdette.johnson@goldner.com
97,Male,19,60,47,mbrekke@hettinger.net
98,Male,19,60,50,malachi24@hotmail.com
99,Male,19,61,42,okey.ortiz@yahoo.com
100,Male,19,61,49,lucinda52@gmail.com
101,Male,19,62,41,vonrueden.frederic@hermiston.org
102,Male,19,62,48,metz.justine@yahoo.com
103,Male,19,62,59,jackie.rau@jakubowski.net
104,Male,19,62,55,dustin.schneider@yahoo.com
105,Male,19,62,56,pagac.sammy@yahoo.com
106,Male,19,62,42,hcronin@yahoo.com
107,Male,19,63,50,emil.franecki@konopelski.com
108,Male,19,63,46,nyasia21@hotmail.com
109,Male,19,63,43,ayushchawla099@gamil.com
110,Male,19,63,48,kbosco@larson.info
111,Male,19,63,52,eliezer29@gmail.com
112,Male,19,63,54,champlin.ruthie@little.com
113,Male,19,64,42,bartoletti.keagan@hotmail.com
114,Male,19,900,46,roob.skyla@yahoo.com
115,Male,19,65,48,dorothy20@mitchell.com
116,Male,19,65,50,royal.schmitt@heaney.com
117,Male,19,65,43,desiree.kris@harber.com
118,Male,19,65,59,austen.leffler@yahoo.com
119,Male,19,67,43,thaddeus.bartell@kulas.com
120,Male,19,67,57,koepp.owen@bashirian.com
121,Male,19,67,56,michel.haag@yahoo.com
122,Male,19,67,,frolfson@gmail.com
123,Male,19,69,58,frederic.welch@kuhlman.net
124,Male,19,69,91,desiree.roberts@jacobi.com
125,Male,19,70,29,tcrona@oberbrunner.com
126,Male,19,70,77,green.juwan@wisoky.org
127,Male,19,71,35,mlubowitz@osinski.com
128,Male,19,71,95,schaefer.keira@renner.com
129,Male,19,71,11,dariana92@schmitt.com
130,Male,19,71,75,carleton.weimann@hotmail.com
131,Male,19,71,9,yparker@yahoo.com
132,Male,19,71,75,heloise61@gmail.com
133,Male,19,72,34,vonrueden.edythe@gmail.com
134,Male,19,72,71,jessyca45@daugherty.com
135,Male,19,73,5,weimann.lucile@yahoo.com
136,Male,19,73,88,isabell16@herman.com
137,Male,19,73,7,gislason.sabryna@ferry.com
138,Male,19,73,73,wbraun@gmail.com
139,Male,19,74,10,dario.anderson@cremin.info
140,Male,19,74,72,edenesik@toy.biz
141,Male,19,75,5,leon.lubowitz@yahoo.com
142,Male,19,,93,franco.gottlieb@hotmail.com
143,Male,19,76,40,kade.kuphal@white.net
144,Male,19,1000,87,ressie.kub@yahoo.com
145,Male,19,77,12,fwiegand@beatty.info
146,Male,19,77,97,reynolds.tressa@gmail.com
147,Male,19,77,36,twest@hotmail.com
148,Male,19,77,74,ratke.chanelle@gmail.com
149,Male,19,78,22,aileen.koepp@cronin.com
150,Male,19,78,90,emelie.hansen@hickle.net
151,Male,19,78,17,anna.littel@brekke.com
152,Male,19,78,88,lawrence.bartell@waelchi.net
153,Male,19,78,20,stacy.frami@marks.net
154,Male,19,78,76,dawn.stokes@leffler.com
155,Male,19,78,16,lebsack.mollie@hotmail.com
156,Male,19,78,89,emmalee.rohan@halvorson.com
157,Male,19,78,1,ayushchawla099@gamil.com
158,Male,19,78,78,lucius.murray@bauch.com
159,Male,19,78,1,jasen.altenwerth@volkman.com
160,Male,19,78,73,coby35@yahoo.com
161,Male,19,79,35,donnell.kulas@yahoo.com
162,Male,19,79,83,herman.trever@yahoo.com
163,Male,19,81,5,hstokes@hotmail.com
164,Male,19,81,93,cordelia.lemke@crist.com
165,Male,19,85,26,lubowitz.caden@yahoo.com
166,Male,19,85,75,izemlak@schaden.net
167,Male,19,86,20,yundt.dayton@gmail.com
168,Male,19,86,95,donato72@wilderman.com
169,Male,19,87,27,daniel.kavon@yahoo.com
170,Male,19,87,63,jdibbert@hotmail.com
171,Male,19,87,13,leanna.cummings@kohler.com
172,Male,19,87,75,rod.wilderman@denesik.biz
173,Male,19,87,10,adolphus.gleason@bauch.com
174,Male,19,3456,92,corkery.rebecca@yahoo.com
175,Male,19,88,13,hagenes.jewel@yahoo.com
176,Male,19,88,86,kirsten.herzog@hotmail.com
177,Male,19,88,15,gulgowski.rosalyn@tremblay.org
178,Male,19,88,69,erick.rippin@mcdermott.com
179,Male,19,93,14,brown.ivah@reichert.com
180,Male,19,93,90,lane43@gmail.com
181,Male,19,97,32,zola20@cruickshank.com
182,Male,19,97,86,fritsch.jarvis@yahoo.com
183,Male,19,98,15,idell82@corwin.com
184,Male,19,98,88,webster.koch@gmail.com
185,Male,19,99,39,gleason.lonny@lindgren.org
186,Male,19,777,97,anastasia52@treutel.com
187,Male,19,101,24,torrance.green@hotmail.com
188,Male,19,101,68,doris77@hotmail.com
189,Male,19,103,17,keeling.theodora@gmail.com
190,Male,19,103,85,vmccullough@yahoo.com
191,Male,19,103,23,rodriguez.hanna@ryan.com
192,Male,19,103,69,dicki.gwendolyn@parker.com
193,Male,19,113,8,austen08@gmail.com
194,Male,19,113,91,boconner@connelly.info
195,Male,19,120,16,priscilla.heathcote@hotmail.com
196,Male,19,120,79,russel.breanne@koch.com
197,Male,19,126,28,gerlach.foster@hotmail.com
198,Male,19,126,74,trinity.paucek@schmitt.info
199,Male,19,137,18,ankunding.gonzalo@rice.com
200,Male,19,137,83,carolyn00@okuneva.com
201,Male,19,15,39,levi01@yahoo.com
202,Male,19,20,81,marina43@hotmail.com
203,Male,19,16,6,waters.alycia@yahoo.com
204,Male,19,45,77,heller.markus@gislason.com
205,Male,19,17,40,verdie85@yahoo.com
206,Male,19,17,76,jfay@yahoo.com
207,Male,19,18,6,beth82@dooley.info
208,Male,19,44,94,maiya.mcglynn@gmail.com
209,Male,19,19,3,cordia.hill@stanton.org
210,Male,19,19,72,tyrese31@gmail.com
211,Male,19,19,14,spencer.brandon@hotmail.com
212,Male,19,19,99,alden59@brakus.com
213,Male,19,20,15,brody50@leuschke.biz
