,Gender,Age,Annual Income (k),Spending Score (1-100),Email
5,1,19.0,61.0,76.0,rasikavhaval1999@gmail.com
16,1,19.0,21.0,35.0,kirandabeta@gmail.com
17,1,19.0,1200.0,66.0,vickyvineesh9@gmail.com
18,1,19.0,23.0,29.0,jagdishpatil9767@gmail.com
19,1,19.0,23.0,98.0,harshc466@gmail.com
20,1,19.0,24.0,35.0,sawanmulchandani@gmail.com
21,1,19.0,24.0,73.0,goyalyash629@gmail.com
23,1,19.0,1000.0,73.0,thulasisoma402@gmail.com
25,1,19.0,28.0,50.0,pratikalase2000@gmail.com
27,1,19.0,28.0,61.0,akashchawla3103@gmail.com
28,1,19.0,61.0,31.0,clifton70@brown.com
29,1,19.0,222.0,87.0,patience30@bergstrom.biz
31,1,19.0,30.0,73.0,qgusikowski@gmail.com
33,1,19.0,33.0,92.0,alene.gottlieb@gmail.com
35,1,19.0,111.0,81.0,vraynor@yahoo.com
37,1,19.0,34.0,73.0,martin.windler@gulgowski.com
38,1,19.0,37.0,26.0,tad12@yahoo.com
39,1,19.0,37.0,75.0,kobe12@raynor.com
40,1,19.0,38.0,35.0,nbuckridge@windler.net
41,1,19.0,38.0,92.0,haley.murray@gmail.com
42,1,19.0,39.0,36.0,konopelski.newton@gmail.com
43,1,19.0,39.0,61.0,kunde.gavin@gmail.com
44,1,19.0,100.0,28.0,cecelia.dietrich@yahoo.com
45,1,19.0,39.0,65.0,shanelle27@yahoo.com
46,1,19.0,40.0,55.0,xhammes@gmail.com
47,1,19.0,123.0,47.0,lera.will@rowe.biz
48,1,19.0,40.0,42.0,mcglynn.caleb@yahoo.com
49,1,19.0,40.0,42.0,brakus.leslie@treutel.org
50,1,19.0,42.0,52.0,zack.zulauf@gmail.com
51,1,19.0,42.0,60.0,mack.morar@hotmail.com
53,1,19.0,43.0,60.0,jacinto.cummerata@wiza.biz
54,1,19.0,43.0,45.0,brown.pagac@gmail.com
55,1,19.0,43.0,41.0,darryl85@jerde.net
56,1,19.0,400.0,50.0,elyssa.crooks@gmail.com
57,1,19.0,44.0,46.0,jcrooks@legros.org
58,1,19.0,46.0,51.0,jett.haley@jacobs.biz
59,1,19.0,46.0,46.0,greenfelder.reyes@frami.com
60,1,19.0,46.0,56.0,wgibson@reinger.com
61,1,19.0,46.0,55.0,pwitting@pouros.com
62,1,19.0,47.0,52.0,allie.witting@hotmail.com
63,1,19.0,47.0,59.0,moriah17@cronin.net
64,1,19.0,48.0,51.0,jairo88@yahoo.com
