,Gender,Age,Annual Income (k),Spending Score (1-100),Email,label
133,1,19.0,3456.0,92.0,corkery.rebecca@yahoo.com,1
693,1,48.0,3334.0,49.0,wilber48@ferry.com,1
799,1,38.0,3333.0,55.0,iva_kshlerin@gmail.com,1
936,1,48.0,3334.0,49.0,don.kuhlman@hotmail.com,1
1092,1,18.0,4322.0,41.0,effie.dicki@hotmail.com,1
1323,1,67.0,2290.0,41.0,alessandro_hand@hotmail.com,1
1715,1,19.0,3456.0,92.0,jacobson.nels@tillman.net,1
2276,1,48.0,3334.0,49.0,nterry@hettinger.com,1
2382,1,38.0,3333.0,55.0,spinka.josie@gmail.com,1
2518,1,48.0,3334.0,49.0,sienna.mcglynn@cormier.biz,1
2673,1,18.0,4322.0,41.0,orpha36@yahoo.com,1
2904,1,67.0,2290.0,41.0,judge.pacocha@rowe.com,1
3299,1,19.0,3456.0,92.0,antonina74@schultz.com,1
3858,1,48.0,3334.0,49.0,scarlett.auer@gmail.com,1
3964,1,38.0,3333.0,55.0,jarvis76@leannon.com,1
4100,1,48.0,3334.0,49.0,reichert.murphy@schaefer.biz,1
4256,1,18.0,4322.0,41.0,littel.johathan@yahoo.com,1
4486,1,67.0,2290.0,41.0,marvin.javonte@yahoo.com,1
4882,1,19.0,3456.0,92.0,bins.christ@schowalter.net,1
5442,1,48.0,3334.0,49.0,tchamplin@ernser.info,1
5548,1,38.0,3333.0,55.0,jalen38@gmail.com,1
5685,1,48.0,3334.0,49.0,harvey.johns@hotmail.com,1
5840,1,18.0,4322.0,41.0,buster.legros@gmail.com,1
6071,1,67.0,2290.0,41.0,hherman@yahoo.com,1
6465,1,19.0,3456.0,92.0,pacocha.jeanette@hotmail.com,1
7022,1,48.0,3334.0,49.0,qreynolds@hotmail.com,1
7127,1,38.0,3333.0,55.0,sydnie.sauer@heathcote.info,1
7264,1,48.0,3334.0,49.0,stoltenberg.sonia@hotmail.com,1
7418,1,18.0,4322.0,41.0,maggie.quigley@gmail.com,1
7649,1,67.0,2290.0,41.0,libby.beer@yahoo.com,1
8046,1,19.0,3456.0,92.0,immanuel64@baumbach.com,1
8606,1,48.0,3334.0,49.0,prohaska.abigail@borer.com,1
8711,1,38.0,3333.0,55.0,nicolas.eduardo@yahoo.com,1
8848,1,48.0,3334.0,49.0,sister51@gmail.com,1
9002,1,18.0,4322.0,41.0,lemke.flavie@yahoo.com,1
9232,1,67.0,2290.0,41.0,mark.schuster@gmail.com,1
9626,1,19.0,3456.0,92.0,maynard.kovacek@wunsch.info,1
10184,1,48.0,3334.0,49.0,britney.heidenreich@larkin.org,1
10289,1,38.0,3333.0,55.0,uwindler@schimmel.com,1
10426,1,48.0,3334.0,49.0,delpha74@balistreri.net,1
10581,1,18.0,4322.0,41.0,yoreilly@keeling.com,1
10812,1,67.0,2290.0,41.0,schimmel.marcus@hickle.com,1
11206,1,19.0,3456.0,92.0,hgrant@hoppe.com,1
11765,1,48.0,3334.0,49.0,eulah.medhurst@hotmail.com,1
11871,1,38.0,3333.0,55.0,kiehn.mable@zieme.com,1
12006,1,48.0,3334.0,49.0,irenner@hotmail.com,1
12160,1,18.0,4322.0,41.0,makayla59@hotmail.com,1
12391,1,67.0,2290.0,41.0,norval37@welch.biz,1
12787,1,19.0,3456.0,92.0,darion79@hoppe.biz,1
13345,1,48.0,3334.0,49.0,awuckert@boehm.com,1
13450,1,38.0,3333.0,55.0,electa71@lueilwitz.org,1
13585,1,48.0,3334.0,49.0,margarette59@hotmail.com,1
13740,1,18.0,4322.0,41.0,nettie.shanahan@beier.info,1
13967,1,67.0,2290.0,41.0,cruickshank.camylle@yahoo.com,1
14357,1,19.0,3456.0,92.0,nelson99@yahoo.com,1
14914,1,48.0,3334.0,49.0,qheathcote@gmail.com,1
15019,1,38.0,3333.0,55.0,horacio.bosco@morissette.info,1
15154,1,48.0,3334.0,49.0,vonrueden.aileen@gmail.com,1
15309,1,18.0,4322.0,41.0,jordyn81@hotmail.com,1
15538,1,67.0,2290.0,41.0,jhalvorson@moore.com,1
